"","subjectNo","symErrorTotal","symAccErrorTotal","symSpeedErorTotal","symSspanPartialScore"
"1",1,0,0,0,14
"2",2,1,1,0,10
"3",3,1,0,1,9
"4",9,0,0,0,7
"5",10,1,0,1,10
"6",11,1,1,0,14
"7",12,1,1,0,13
"8",13,0,0,0,11
"9",15,0,0,0,14
"10",16,0,0,0,13
"11",17,1,0,1,12
"12",18,2,0,2,10
"13",19,1,0,1,10
"14",20,3,1,2,9
"15",21,0,0,0,9
"16",22,0,0,0,13
"17",23,0,0,0,6
"18",24,0,0,0,11
"19",25,2,1,1,6
"20",26,0,0,0,8
"21",27,1,1,0,14
"22",28,0,0,0,5
"23",29,0,0,0,11
"24",30,10,0,10,4
"25",31,0,0,0,5
"26",32,1,1,0,14
"27",33,0,0,0,14
"28",34,0,0,0,7
"29",35,0,0,0,14
"30",36,1,1,0,10
"31",37,1,1,0,11
"32",38,1,0,1,12
"33",39,1,1,0,11
"34",40,1,1,0,14
"35",41,1,1,0,13
"36",42,0,0,0,14
"37",201,0,0,0,8
"38",202,2,1,1,8
"39",203,7,4,3,6
"40",204,1,1,0,5
"41",205,0,0,0,6
"42",206,0,0,0,10
"43",207,3,2,1,1
"44",209,1,1,0,9
"45",210,0,0,0,7
"46",211,3,3,0,6
"47",212,0,0,0,5
"48",213,0,0,0,11
"49",214,1,1,0,12
"50",215,1,1,0,12
"51",216,1,1,0,13
"52",217,2,1,1,4
"53",218,1,0,1,3
"54",219,0,0,0,14
"55",220,0,0,0,6
"56",221,0,0,0,10
"57",222,0,0,0,6
"58",223,0,0,0,11
"59",224,1,1,0,13
"60",225,1,1,0,8
"61",226,2,2,0,12
"62",227,0,0,0,12
"63",228,1,1,0,12
"64",229,1,1,0,9
"65",230,1,1,0,9
"66",4,0,0,0,13
"67",5,3,2,1,12
"68",6,0,0,0,6
"69",7,1,0,1,6
"70",8,1,1,0,13
